Date,Number_EV,Increment,Adoption_rate
3/3/2016,22,10,0
16/5/2016,32,23,0.138696255
10/7/2016,55,7,0.319001387
16/9/2016,62,6,0.097087379
9/11/2016,68,40,0.083217753
4/3/2017,108,72,0.554785021
17/5/2017,180,38,0.998613037
11/7/2017,218,42,0.52704577
17/9/2017,260,80,0.582524272
10/11/2017,340,60,1.109570042
5/3/2018,400,74,0.832177531
18/5/2018,474,44,1.026352288
12/7/2018,518,82,0.610263523
18/9/2018,600,160,1.137309293
11/11/2018,760,134,2.219140083
16/3/2019,894,106,1.85852982
19/5/2019,1000,200,1.470180305
13/7/2019,1200,258,2.773925104
19/9/2019,1458,182,3.578363384
12/11/2019,1640,160,2.524271845
7/3/2020,1800,56,2.219140083
20/5/2020,1856,36,1.886269071
14/7/2020,1892,20,3.661581137
20/9/2020,1912,36,3.46740638
13/11/2020,1948,41,2.080443828
8/3/2021,1989,15,1.109570042
21/5/2021,2004,58,0.554785021
15/7/2021,2062,98,1.109570042
20/9/2021,2160,220,1.692094313
14/11/2021,2380,232,1.914008322
9/3/2022,2612,298,1.941747573
22/5/2022,2910,320,3.606102635
16/7/2022,3230,333,2.912621359
22/9/2022,3563,349,3.19001387
15/11/2022,3912,503,9.708737864
10/3/2023,4415,565,5.104022191
23/5/2023,4980,588,6.40776699
17/7/2023,5568,800,6.380027739
23/9/2023,6368,1329,4.563106796
16/11/2023,7697,1650,5.977808599
,,9325,
