Id,name,latitude,longitude,altitude(ft),utm_easting,utm_northing,demographic_score,traffic_volume,infra_score
1,Kotobe,9.031759431,38.83092134,7969.8,481417.5,998367.7,20,150,19.0
2,Yeka,9.036683287,38.805512174,8552.2,478625.2,998913.5,12,200,21.0
3,Kebena,9.038004476,38.772675593,8075.5,475016.4,999061.6,15,150,19.0
4,Entoto,9.063523,38.769207529,8436.0,474637.1,1001883.2,50,70,10.0
5,Arada,9.039293043,38.748752722,8133.2,472387.3,999205.8,25,300,36.0
6,Merkato,9.031472627,38.738593875,8039.0,471270.2,998342.0,25,300,47.0
7,Sheger park,9.056866026,38.739885254,8429.5,471414.1,1001149.4,50,100,7.0
8,Paulos Hospital,9.048324639,38.730283804,8324.5,470358.3,1000205.8,30,180,11.0
9,Gulele,9.069492038,38.737429439,8740.2,471145.3,1002545.5,35,200,18.0
10,Ferensay Gurara,9.060580305,38.782757492,8411.1,476125.9,1001556.9,30,70,12.0
11,Goro,8.996967762,38.828922676,7640.4,481196.0,994521.3,30,50,27.0
12,Sefera,8.987014688,38.833143617,7600.4,481659.5,993420.7,20,80,16.0
13,GAST Entertainment,9.020361976,38.842630233,7810.0,482703.8,997107.1,35,100,8.0
14,summit resturant,9.010164799,38.853346934,7767.1,483881.2,995979.2,25,120,10.0
15,Ayat,9.020144502,38.870161379,7875.0,485729.7,997081.8,35,300,44.0
16,American medical center,9.032000621,38.851663001,8019.0,483697.1,998393.4,40,100,13.0
17,Summit square,9.0002235,38.853336436,7727.7,483879.6,994880.1,45,350,26.0
18,Kitime,8.950873449,38.829234073,7378.3,481227.9,989425.2,20,50,16.0
19,Ansaar Masjid,8.927139052,38.824622001,7250.7,480719.6,986801.5,35,30,10.0
20,Master gere world taekwondo,8.919259824,38.742328728,7273.0,471672.0,985935.7,25,30,9.0
21,Gelan condominium,8.884744427,38.769478925,6976.7,474654.5,982117.8,35,40,20.0
22,AA Scien and Techno Unv,8.886567861,38.822242321,7128.9,480455.9,982316.2,80,50,10.0
23,Tullu Dimtu,8.87209267,38.82516534,7109.3,480776.5,980715.7,45,200,24.0
24,Kaliti,8.899115144,38.771563414,7075.1,474884.6,983706.4,40,150,19.0
25,Qusquam Mariam,8.920845711,38.771683621,7123.0,474899.3,986108.9,25,40,9.0
26,Hana,8.933780899,38.73309915,7291.0,470658.4,987541.8,35,100,25.0
27,Lafto,8.959318809,38.718245685,7322.5,469027.7,990366.4,30,200,20.0
28,Mekanisa,8.968538286,38.740668548,7390.4,471493.3,991383.9,35,250,28.0
29,Bole,8.981738742,38.801292839,7630.2,478158.2,992839.2,50,300,36.0
30,Skylight Hotel,8.987631131,38.792098588,7635.8,477147.9,993491.2,50,100,11.0
31,Bole Bulbula,8.975577052,38.77113621,7516.7,474842.9,992159.9,40,80,16.0
32,Airport road,8.990878082,38.783789996,7631.2,476234.8,993850.7,45,350,15.0
33,Saris addisu sefer,8.954711296,38.769926126,7305.8,474708.5,989853.1,25,80,9.0
34,Saris adey abeba,8.957831808,38.765204672,7385.5,474189.7,990198.4,30,40,12.0
35,Saris Abo,8.944531945,38.770880545,7194.2,474812.7,988727.6,25,100,14.0
36,Christ Army Int Church,8.960137791,38.758856176,7365.8,473492.0,990453.8,40,40,10.0
37,Wolo Sefer,8.992214243,38.776752343,7576.4,475461.4,993998.9,40,200,15.0
38,Ruwanda Street,8.986316878,38.774107381,7530.8,475170.2,993347.1,45,200,16.0
39,Dembel City Center,9.004537446,38.768273948,7704.7,474530.3,995361.9,35,200,16.0
40,Kirkos,9.002332448,38.761043186,7704.1,473735.4,995118.6,30,120,20.0
41,Gabon St,8.993385306,38.766845453,7650.9,474372.5,994129.0,25,100,12.0
42,Ethio China St,8.988056436,38.770849031,7571.2,474812.2,993539.6,35,200,11.0
43,Meskel Square,9.010060705,38.76144805,7707.3,473780.5,995973.0,500,400,13.0
44,AA Stadium,9.012585604,38.757372639,7699.1,473332.7,996252.5,100,230,18.0
45,Laga Hare,9.009435185,38.753785506,7741.1,472938.2,995904.4,20,200,22.0
46,Kazanchis,9.014239869,38.766663519,7759.8,474354.0,996434.7,30,120,22.0
47,Hilton Hotel,9.01877073,38.765079042,7830.4,474180.2,996935.7,40,50,13.0
48,Menelik II ave,9.018275316,38.763168724,7819.6,473970.2,996881.1,35,100,15.0
49,Ras Desta Damto St,9.015207062,38.756121722,7702.8,473195.4,996542.4,35,100,12.0
50,Unity Park,9.023106902,38.763290641,7943.9,473983.9,997415.2,55,80,9.0
51,Zewudit St,9.019954131,38.767208312,7830.7,474414.3,997066.4,35,100,13.0
52,Science and Techno Mesuem,9.021253321,38.761603252,7842.5,473798.3,997210.4,40,50,8.0
53,Friendship Park,9.021952973,38.758929258,7783.8,473504.5,997288.0,50,50,8.0
54,Yohanis St,9.018395138,38.759886924,7753.0,473609.5,996894.6,35,100,16.0
55,Aware,9.027029973,38.768716168,7885.2,474580.5,997848.6,25,120,13.0
